Save No	Element	redox	Solid Phase	Specific Surface Area(m2/g)	CEC(meq/100g)	note	Solid Phase Group	Solution/Solid(mL/g)	Solution(mL)	Solid(g)	temp(degC)	Water Type	Ca(ppm)	Na(ppm)	K(ppm)	Mg(ppm)	Cl(ppm)	HCO3(ppm)	SO4(ppm)	F(ppm)	SiO2(ppm)	Fe(ppm)	NO3(ppm)	ClO4(ppm)	Ionic strength(mol/L)	DOC(ppm)	note	Ionic strength(mol/L)	pH init	pH end	C init(mol/L)	Contact time(day)	Separation	Eh init(mV)	Eh end(mV)	atm/redox condition	Kd(m3/kg)	error	Data type	Reference	Author	Year	Title	Journal	Publisher	Vol	No	Page	Note	replicates, n	additional/information	Kd Graph Data	Temp Graph Data	pH Graph Data	Time Graph Data	Eh Graph Data	Cinit Graph Data	Solution/Solid Graph Data	
30466	Sr	II	albite	n.r.	0.03	-	Other minerals	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	3.00E-02	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.03	25.0	7.5	7.0	0.0	0.0	50.0	
30467	Sr	II	plagiorhyolite	n.r.	1.2	-	Other minerals	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	3.90E-02	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.039	25.0	7.5	7.0	0.0	0.0	50.0	
30468	Sr	II	hedenbergite	n.r.	0.36	-	Other minerals	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	4.00E-02	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.04	25.0	7.5	7.0	0.0	0.0	50.0	
30469	Sr	II	grossularite	n.r.	0.11	-	Other minerals	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	7.10E-02	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.071	25.0	7.5	7.0	0.0	0.0	50.0	
30470	Sr	II	chlorite	n.r.	0.93	-	Clay minerals	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	1.40E-01	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.14	25.0	7.5	7.0	0.0	0.0	50.0	
30471	Sr	II	microcline	n.r.	0.07	-	Other minerals	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	1.50E-01	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.15	25.0	7.5	7.0	0.0	0.0	50.0	
30472	Sr	II	muscovite	n.r.	2	-	Clay minerals	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	2.00E+00	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	2.0	25.0	7.5	7.0	0.0	0.0	50.0	
30473	Sr	II	sandstone	n.r.	2.4	-	Sandstone	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	7.80E-01	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.78	25.0	7.5	7.0	0.0	0.0	50.0	
30474	Sr	II	tuff#1	n.r.	0.57	Vitric massive tuff	Tuff	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	5.00E-02	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.05	25.0	7.5	7.0	0.0	0.0	50.0	
30475	Sr	II	tuff#3	n.r.	130	Itado tuff	Tuff	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	5.50E+00	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	5.5	25.0	7.5	7.0	0.0	0.0	50.0	
30476	Sr	II	tuff#2	n.r.	97	Ohya tuff	Tuff	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	1.70E+01	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	17.0	25.0	7.5	7.0	0.0	0.0	50.0	
30658	Sr	II	cement hydrates	n.r.	n.r.	CSH(Ca/Si = 0.9), Curing time=30[day], Curing temperature=23.0[??]	Cementitious materials	100	1.0E-01	n.r.	n.r.	0.0001M NaCl#2	0.0192								0.00815				0.006		0.0001M NaCl + CSH gel equilibrium solution, Ca/Si=0.9	0.006	11.0	n.r.	2.00E-02	45	f(0.45micro-meter)	n.r.	n.r.	Ar	2.30E-02	2.30E-02	Rd [cm3/g] from figure	Sugiyama et al.(2003a)	Sugiyama, D. , Fujita, T. , Berry, J. A. and Williams, S. J.	2003	A Study of Sorption Mechanism onto Cement Hydrates by Isotherm Measurements	CRIEPI Report	Central Research Institute of Electric Power Industry		T02025			n.r.	Batch	0.023	0.0	11.0	45.0	0.0	0.02	100.0	
30659	Sr	II	cement hydrates	n.r.	n.r.	CSH(Ca/Si = 0.9), Curing time=30[day], Curing temperature=23.0[??]	Cementitious materials	100	1.0E-01	n.r.	n.r.	0.0001M NaCl#2	0.0192								0.00815				0.004		0.0001M NaCl + CSH gel equilibrium solution, Ca/Si=0.9	0.004	11.0	n.r.	5.00E-03	45	f(0.45micro-meter)	n.r.	n.r.	Ar	6.00E-02	6.00E-02	Rd [cm3/g] from figure	Sugiyama et al.(2003a)	Sugiyama, D. , Fujita, T. , Berry, J. A. and Williams, S. J.	2003	A Study of Sorption Mechanism onto Cement Hydrates by Isotherm Measurements	CRIEPI Report	Central Research Institute of Electric Power Industry		T02025			n.r.	Batch	0.06	0.0	11.0	45.0	0.0	0.005	100.0	
30660	Sr	II	cement hydrates	n.r.	n.r.	CSH(Ca/Si = 0.9), Curing time=30[day], Curing temperature=23.0[??]	Cementitious materials	100	1.0E-01	n.r.	n.r.	0.0001M NaCl#2	0.0192								0.00815				0.002		0.0001M NaCl + CSH gel equilibrium solution, Ca/Si=0.9	0.002	11.0	n.r.	1.00E-03	45	f(0.45micro-meter)	n.r.	n.r.	Ar	2.00E-01	2.00E-01	Rd [cm3/g] from figure	Sugiyama et al.(2003a)	Sugiyama, D. , Fujita, T. , Berry, J. A. and Williams, S. J.	2003	A Study of Sorption Mechanism onto Cement Hydrates by Isotherm Measurements	CRIEPI Report	Central Research Institute of Electric Power Industry		T02025			n.r.	Batch	0.2	0.0	11.0	45.0	0.0	0.001	100.0	
30661	Sr	II	cement hydrates	n.r.	n.r.	CSH(Ca/Si = 0.9), Curing time=30[day], Curing temperature=23.0[??]	Cementitious materials	100	1.0E-01	n.r.	n.r.	0.0001M NaCl#2	0.0192								0.00815				0.002		0.0001M NaCl + CSH gel equilibrium solution, Ca/Si=0.9	0.002	11.0	n.r.	5.00E-04	45	f(0.45micro-meter)	n.r.	n.r.	Ar	3.00E-01	3.00E-01	Rd [cm3/g] from figure	Sugiyama et al.(2003a)	Sugiyama, D. , Fujita, T. , Berry, J. A. and Williams, S. J.	2003	A Study of Sorption Mechanism onto Cement Hydrates by Isotherm Measurements	CRIEPI Report	Central Research Institute of Electric Power Industry		T02025			n.r.	Batch	0.3	0.0	11.0	45.0	0.0	0.00050	100.0	
30662	Sr	II	cement hydrates	n.r.	n.r.	CSH(Ca/Si = 0.9), Curing time=30[day], Curing temperature=23.0[??]	Cementitious materials	100	1.0E-01	n.r.	n.r.	0.0001M NaCl#2	0.0192								0.00815				0.0018		0.0001M NaCl + CSH gel equilibrium solution, Ca/Si=0.9	0.0018	11.0	n.r.	5.00E-05	45	f(0.45micro-meter)	n.r.	n.r.	Ar	5.50E-01	5.50E-01	Rd [cm3/g] from figure	Sugiyama et al.(2003a)	Sugiyama, D. , Fujita, T. , Berry, J. A. and Williams, S. J.	2003	A Study of Sorption Mechanism onto Cement Hydrates by Isotherm Measurements	CRIEPI Report	Central Research Institute of Electric Power Industry		T02025			n.r.	Batch	0.55	0.0	11.0	45.0	0.0	0.000050	100.0	
31500	Sr	II	basalt	n.r.	4.70	-	Basaltic rocks	10	n.r.	n.r.	23.0	synthetic groundwater	1.06	225.0	2.5	0.07	131.0	75.0	72.0		108.0				0.0109		-	0.0109	n.r.	n.r.	5.54E-12	n.r.	n.r.	n.r.	n.r.	Low_O2	4.00E-04	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.00040	23.0	0.0	0.0	0.0	0.00000000000554	10.0	
31501	Sr	II	basalt	n.r.	1.70	-	Basaltic rocks	10	n.r.	n.r.	23.0	synthetic groundwater	1.06	225.0	2.5	0.07	131.0	75.0	72.0		108.0				0.0109		-	0.0109	n.r.	n.r.	5.54E-12	n.r.	n.r.	n.r.	n.r.	Low_O2	6.00E-04	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.00060	23.0	0.0	0.0	0.0	0.00000000000554	10.0	
31502	Sr	II	basalt	n.r.	2.50	-	Basaltic rocks	10	n.r.	n.r.	23.0	synthetic groundwater	1.06	225.0	2.5	0.07	131.0	75.0	72.0		108.0				0.0109		-	0.0109	n.r.	n.r.	5.54E-12	n.r.	n.r.	n.r.	n.r.	Low_O2	1.70E-03	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.0017	23.0	0.0	0.0	0.0	0.00000000000554	10.0	
31503	Sr	II	basalt	n.r.	4.70	-	Basaltic rocks	10	n.r.	n.r.	23.0	synthetic groundwater	6.5	30.7	9.0	1.0	14.4	81.5	11.1		25.0				0.00229		-	0.00229	8.2	8.85	5.54E-12	n.r.	n.r.	n.r.	n.r.	Normal	9.10E-02	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.091	23.0	8.9	0.0	0.0	0.00000000000554	10.0	
31504	Sr	II	basalt	n.r.	4.70	-	Basaltic rocks	10	n.r.	n.r.	23.0	synthetic groundwater	6.5	30.7	9.0	1.0	14.4	81.5	11.1		25.0				0.00229		-	0.00229	8.4	8.4	5.54E-12	n.r.	n.r.	n.r.	n.r.	Normal	1.04E-01	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.104	23.0	8.4	0.0	0.0	0.00000000000554	10.0	
31505	Sr	II	basalt	n.r.	1.70	-	Basaltic rocks	10	n.r.	n.r.	23.0	synthetic groundwater	6.5	30.7	9.0	1.0	14.4	81.5	11.1		25.0				0.00229		-	0.00229	8.2	8.85	5.54E-12	n.r.	n.r.	n.r.	n.r.	Normal	1.05E-01	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.105	23.0	8.9	0.0	0.0	0.00000000000554	10.0	
31506	Sr	II	basalt	n.r.	4.70	-	Basaltic rocks	10	n.r.	n.r.	23.0	synthetic groundwater	6.5	30.7	9.0	1.0	14.4	81.5	11.1		25.0				0.00229		-	0.00229	n.r.	n.r.	5.54E-12	n.r.	n.r.	n.r.	n.r.	Low_O2	1.18E-01	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.118	23.0	0.0	0.0	0.0	0.00000000000554	10.0	
31507	Sr	II	basalt	n.r.	2.50	-	Basaltic rocks	10	n.r.	n.r.	23.0	synthetic groundwater	6.5	30.7	9.0	1.0	14.4	81.5	11.1		25.0				0.00229		-	0.00229	8.5	8.85	5.54E-12	n.r.	n.r.	n.r.	n.r.	Normal	1.21E-01	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.121	23.0	8.9	0.0	0.0	0.00000000000554	10.0	
31508	Sr	II	basalt	n.r.	1.70	-	Basaltic rocks	10	n.r.	n.r.	60.0	synthetic groundwater	6.5	30.7	9.0	1.0	14.4	81.5	11.1		25.0				0.00229		-	0.00229	8.6	8.4	5.54E-12	n.r.	n.r.	n.r.	n.r.	Normal	1.22E-01	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.122	60.0	8.4	0.0	0.0	0.00000000000554	10.0	
31509	Sr	II	basalt	n.r.	2.50	-	Basaltic rocks	10	n.r.	n.r.	23.0	synthetic groundwater	6.5	30.7	9.0	1.0	14.4	81.5	11.1		25.0				0.00229		-	0.00229	8.4	8.4	5.54E-12	n.r.	n.r.	n.r.	n.r.	Normal	1.30E-01	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.13	23.0	8.4	0.0	0.0	0.00000000000554	10.0	
31510	Sr	II	basalt	n.r.	4.70	-	Basaltic rocks	20	n.r.	n.r.	23.0	synthetic groundwater	6.5	30.7	9.0	1.0	14.4	81.5	11.1		25.0				0.00229		-	0.00229	n.r.	n.r.	5.54E-12	n.r.	n.r.	n.r.	n.r.	Low_O2	1.39E-01	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.139	23.0	0.0	0.0	0.0	0.00000000000554	20.0	
31511	Sr	II	basalt	n.r.	2.50	-	Basaltic rocks	10	n.r.	n.r.	23.0	synthetic groundwater	6.5	30.7	9.0	1.0	14.4	81.5	11.1		25.0				0.00229		-	0.00229	n.r.	n.r.	5.54E-12	n.r.	n.r.	n.r.	n.r.	Low_O2	1.57E-01	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.157	23.0	0.0	0.0	0.0	0.00000000000554	10.0	
31512	Sr	II	basalt	n.r.	2.50	-	Basaltic rocks	20	n.r.	n.r.	23.0	synthetic groundwater	6.5	30.7	9.0	1.0	14.4	81.5	11.1		25.0				0.00229		-	0.00229	n.r.	n.r.	5.54E-12	n.r.	n.r.	n.r.	n.r.	Low_O2	2.01E-01	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.201	23.0	0.0	0.0	0.0	0.00000000000554	20.0	
31513	Sr	II	basalt	n.r.	1.70	-	Basaltic rocks	10	n.r.	n.r.	23.0	synthetic groundwater	6.5	30.7	9.0	1.0	14.4	81.5	11.1		25.0				0.00229		-	0.00229	n.r.	n.r.	5.54E-12	n.r.	n.r.	n.r.	n.r.	Low_O2	3.81E-01	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.381	23.0	0.0	0.0	0.0	0.00000000000554	10.0	
31558	Sr	II	mineral	n.r.	65.00	-	Other minerals	10	n.r.	n.r.	23.0	synthetic groundwater	1.06	225.0	2.5	0.07	131.0	75.0	72.0		108.0				0.0109		-	0.0109	n.r.	n.r.	5.54E-12	n.r.	n.r.	n.r.	n.r.	Low_O2	2.20E-03	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.0022	23.0	0.0	0.0	0.0	0.00000000000554	10.0	
31559	Sr	II	mineral	n.r.	65.00	-	Other minerals	10	n.r.	n.r.	23.0	synthetic groundwater	6.5	30.7	9.0	1.0	14.4	81.5	11.1		25.0				0.00229		-	0.00229	8.9	8.85	5.54E-12	n.r.	n.r.	n.r.	n.r.	Normal	2.74E-01	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.274	23.0	8.9	0.0	0.0	0.00000000000554	10.0	
31560	Sr	II	mineral	n.r.	65.00	-	Other minerals	10	n.r.	n.r.	23.0	synthetic groundwater	6.5	30.7	9.0	1.0	14.4	81.5	11.1		25.0				0.00229		-	0.00229	8.4	8.4	5.54E-12	n.r.	n.r.	n.r.	n.r.	Normal	3.39E-01	n.r.	in confirmation	Ames and  McGarrah(1980a)	Ames, L. L. and  McGarrah, J. E.	1980	Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report				RHO-BWI-C-108 PNL-3462	109		n.r.	-	0.339	23.0	8.4	0.0	0.0	0.00000000000554	10.0	
