ID,Combo,LLNL Reference,DOI Link,Year,Journal,Vol,Page,Authors,Title
,Disposal of Radioactive Waste in Granitic Bedrock1979,arkt79b,http://dx.doi.org/10.1021/bk-1979-0100.ch004,1979,American Chemical Society,NA,47-73,"Allard, B. , Rydberg, J. , Kipatsi, H. and Torstenfelt, B.",Disposal of Radioactive Waste in Granitic Bedrock
,The Sorption of Actinides in Igneous Rocks1980,abk80,http://dx.doi.org/10.13182/NT80-A17695,1980,Nuclear Technology,49,474-480,"Allard, B. , Beall, G. W. and Krajewski, T.",The Sorption of Actinides in Igneous Rocks
,Sorption studies of H14CO3- on some geologic media and concrete.1981,ata81,not found,1981,Scientific basis for nuclear waste management,3,465-472,"Allard, B. , Torstenfelt, B. and Andersson, K.",Sorption studies of H14CO3- on some geologic media and concrete.
,Sorption of actinides in well-defined oxidation states on geological media1982,aotka82,not found,1982,Materials Research Society Symposium Proceedings,11,775-782,"Allard, B. , Olofsson, U. , Torstenfelt, B. , Kipatsi, H. and Andersson, K.",Sorption of actinides in well-defined oxidation states on geological media
,Sorption behaviour of well-defined oxidation states1983,aotk83,not found,1983,KBS Technical Report,NA,NA,"Allard, B. , Olofsson, U. , Torstenfelt, B. and Kipatsi, H.",Sorption behaviour of well-defined oxidation states
,"Sorption of Cs, I, and Actinides in Concrete Systems1984",aea84,not found,1984,SKB-KBS Technical Report,NA,NA,"Allard, B. , Eliasson, L. and Andersson, K.","Sorption of Cs, I, and Actinides in Concrete Systems"
,Absorption Study of the Tc(IV) on Rocks and Minerals under Simulated Geological Conditions1995,aks95,http://dx.doi.org/10.1557/PROC-353-1005,1995,Materials Research Society Symposium Proceedings,353,1005-1012,"Amaya, T. , Kobayashi, W. and Suzuki, K.",Absorption Study of the Tc(IV) on Rocks and Minerals under Simulated Geological Conditions
,In situ Mossbauer studies of metal oxide-aqueous solution interfaces with adsorbed cobalt-57 and antimony-119 ions1986,aaos86,http://dx.doi.org/10.1021/bk-1987-0323.ch019,1986,ACS Symposium Series 323,NA,403-424,"Ambe, F., Ambe, S., Okada, T. and Sekizawa, H.",In situ Mossbauer studies of metal oxide-aqueous solution interfaces with adsorbed cobalt-57 and antimony-119 ions
,Adsorption of no-carrier-added 119Sb(V) ions onto metal oxid and hydroxide surfaces from aqueous solutions1989,a89,not found,1989,Radiochimica Acta,46,145-150,"Ambe, S.",Adsorption of no-carrier-added 119Sb(V) ions onto metal oxid and hydroxide surfaces from aqueous solutions
,Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report1980,amg80,not found,1980,NA,NA,109,"Ames, L. L. and McGarrah, J. E.",Investigation of Basalt-Radionuclide Distribution Coefficients: Fiscal Year 1980 Annual Report
,Basalt-Radionuclide Distribution Coefficient_x000B_FY-1979 Annual Report1980,amg80,not found,1980,"Pacific Northwest Laboratories Richland, Washingto PNL-3146",NA,all page,"Ames, L. L. and McGarrah, J. E.",Basalt-Radionuclide Distribution Coefficient_x000B_FY-1979 Annual Report
,Basalt-Radionuclide Reactions: FY-1981 Annual Report1981,amgw81,not found,1981,NA,NA,all page,"Ames, L. L. , McGarrah, J. E. and Walker, B. A.",Basalt-Radionuclide Reactions: FY-1981 Annual Report
,Sorption of Trace Constituents from Aqueous Solutions onto Secondaty Minerals I.Uranium1983,amw83a,not found,1983,Clays and Minerals,31,321-334,"Ames, L..L. , Mcgarrah, J. E. and Walker, B. A.",Sorption of Trace Constituents from Aqueous Solutions onto Secondaty Minerals I.Uranium
,Sorption of Trace Constituents from Aqueous Solutions onto Secondary Minerals. II. Radium1983,amgw83b,http://dx.doi.org/10.1346/CCMN.1983.0310502,1983,Clays and Minerals,31,335-342,"Ames, L. L. , McGarrah, J. E. and Walker, B. A.",Sorption of Trace Constituents from Aqueous Solutions onto Secondary Minerals. II. Radium
,"Sorption of Uranium and Radium by Biotite, Muscovite, and Phlogopite1983",amgw83c,http://dx.doi.org/10.1346/CCMN.1983.0310503,1983,Clays and Minerals,31,343-351,"Ames, L..L. , McGarrah, J. E. and Walker, B. A.","Sorption of Uranium and Radium by Biotite, Muscovite, and Phlogopite"
,Transport of Radionuclides by Bentonite and Silica Colloids in a GR-3 Synthetic Groundwater-Interim report1983,amgw83d,not found,1983,NA,NA,all page,"Ames, L.. L.. , McGarrah, J. E. and Walker, B. A.",Transport of Radionuclides by Bentonite and Silica Colloids in a GR-3 Synthetic Groundwater-Interim report
,Selenate-Selenium Sorption on a Columbia River Basalt1984,asmgw84,not found,1984,Chemical Geology,43,287-302,"Ames, L. L. , Salter, P. F. , McGarrah, J. E. and Walker, B. A.",Selenate-Selenium Sorption on a Columbia River Basalt
,Sorption and Diffusion Studies of Cs and I in Concrete1983,ata83a,not found,1983,KBS Technical Report,NA,all page,"Andersson, K. , Torstenfelt, B. and Allard, B.",Sorption and Diffusion Studies of Cs and I in Concrete
,Sorption of Radionuclides in Geologic Systems1983,ata83b,not found,1983,SKB-KBS Technical Report,NA,all page,"Andersson, K. , Torstenfelt, B. and Allard, B.",Sorption of Radionuclides in Geologic Systems
,Determining sorption coefficients in intact rock using an electrical potential gradient as a driving force for migration2006,amn06,http://dx.doi.org/10.1557/PROC-932-12.1,2006,Materials Research Society Symposium Proceedings,932,975-982,"Andre, M. , Malmstroem, M. E. and Neretnieks, I.",Determining sorption coefficients in intact rock using an electrical potential gradient as a driving force for migration
,Radionuclides Sorption Testing of Granite Using Leachate from Fully Radioactive Waste Glass1989,amuys89,not found,1989,"Proceedings of the 1989 Joint International Waste Management Conference, Volume 2 High Level Radioactive Waste and Spent Fuel Management",NA,316-322,"Ashida, T. , Miyahara, K. , Uchida, M. , Yusa, Y. and Sasaki, N.",Radionuclides Sorption Testing of Granite Using Leachate from Fully Radioactive Waste Glass
,Nuclide Migration Study in the QUALITY -Data Acquisitions for the Second Progress Report-1999,aststkk99,not found,1999,JNC Technical Report,NA,all page,"Ashida, T. , Shibutani, T, Sato, H. , Tachi, Y. , Kitamura, A. and Kawamura, K.",Nuclide Migration Study in the QUALITY -Data Acquisitions for the Second Progress Report-
,Zeolite P in cements: Its potential for immobilizing toxic and radioactive waste species1995,agj95,http://dx.doi.org/10.1016/0956-053X(95)00015-R,1995,Waste Management,15,127-135,"Atkins, M. , Glaster, F. P. and Jack, J. J.",Zeolite P in cements: Its potential for immobilizing toxic and radioactive waste species
,"Spatial Variability of the Distribution Coefficients of 137Cs, 65Zn, 85Sr, 57Co, 109Cd, 141Ce, 103Ru, 95mTc, and 131I in a Cultivated Soil1986",bbs86,not found,1986,Nuclear Technology,72,359-371,"Bachhuber, H. , Bunzl, K. and Schimmack, W.","Spatial Variability of the Distribution Coefficients of 137Cs, 65Zn, 85Sr, 57Co, 109Cd, 141Ce, 103Ru, 95mTc, and 131I in a Cultivated Soil"
,"A Quantitative Mechanistic Description of Ni, Zn and Ca Sorption on Na-Montmorillonite, Part II: Sorption Measurements1995",bb95,not found,1995,NA,NA,all page,"Baeyens, B. and Bradbury, M. H.","A Quantitative Mechanistic Description of Ni, Zn and Ca Sorption on Na-Montmorillonite, Part II: Sorption Measurements"
,A Mechanistic Description of Ni and Zn sorption on Na-montmorillonite Part I: Titration and Sorption Measurements1997,bb97,http://dx.doi.org/10.1016/S0169-7722(97)00008-9,1997,Journal of Contaminant Hydrology,27,199-222,"Baeyens, B. and Bradbury, M. H.",A Mechanistic Description of Ni and Zn sorption on Na-montmorillonite Part I: Titration and Sorption Measurements
,Treatment of an anionic metal by adsorption on iron oxides1993,bw93,http://dx.doi.org/10.1021/bk-1995-0607.ch006,1993,NA,NA,64-73,"Bagby, E.L. and West, C.M.",Treatment of an anionic metal by adsorption on iron oxides
,Surface and bulk sorption of uranium(??onto granite rock2002,bhh02,not found,2002,Journal of Radioanalytical and Nuclear Chemistry ,256,18-Nov,"Baik, M. H. , Hyun, S. P. and Hahn, P. S.",Surface and bulk sorption of uranium(??onto granite rock
,NA,bm,not found,NA,NA,NA,NA,"Bajo, C. , Montovani, M. et al.",
,"The sorption of niobium, tin, Iodine and chlorine onto Nirex reference vault backfill.1994",bmcop94,http://dx.doi.org/10.1557/PROC-333-719,1994,Materials Research Society Symposium Proceedings,333,719-724,"Baker, S. , McCrohon, R. , Oliver, P. and Pilkington, N. J.","The sorption of niobium, tin, Iodine and chlorine onto Nirex reference vault backfill."
,"The geochemical cycling of stable Pb, 210Pb, and 210Po in seasonally anoxic Lake Sammamish1995",bmp95,not found,1995,Geochimica et Cosmochimica Acta,59,4845-4861,"Balistieri, L.S., Murray, J.W. and Paul, B.","The geochemical cycling of stable Pb, 210Pb, and 210Po in seasonally anoxic Lake Sammamish"
,Selenium Adsorption by Goethite1987,bc87,http://dx.doi.org/10.2136/sssaj1987.03615995005100050009x,1987,Soil Science Society of America Journal,51,1145-1151,"Balistrieri, L. S. and Chao, T. T.",Selenium Adsorption by Goethite
,Adsorption of Selenium by Amorphous Iron Oxyhydroxide and Manganese Dioxide1990,bc90,http://dx.doi.org/10.1016/0016-7037(90)90369-V,1990,Geochimica et Cosmochimica Acta,54,739-751,"Balistrieri, L. S. and Chao, T. T.",Adsorption of Selenium by Amorphous Iron Oxyhydroxide and Manganese Dioxide
,Soil Chromatographic Movement of Technetium-99 through Selected Minnesota Soils1980,bg80,http://dx.doi.org/10.1097/00010694-198011000-00008,1980,Soil Science,NA,278-282,"Balogh, J. C. and Grigal, D. F.",Soil Chromatographic Movement of Technetium-99 through Selected Minnesota Soils
,Sorption behavior of radium on sandy and clayey sediments of the upper Saxon Elbe river valley1999,btbn99,http://dx.doi.org/10.1007/BF02347206,1999,Journal of Radioanalytical and Nuclear Chemistry ,241,511-517,"Baraniak, L. , Thieme, M. , Bernhard, G. and Nitsche, H.",Sorption behavior of radium on sandy and clayey sediments of the upper Saxon Elbe river valley
,The Kinetics and Reversibility of Radionuclide Sorption Reactions with Rocks_x000B_- Progress Report for Fiscal Year 19781979,ba79,not found,1979,PNL Report,NA,163-218,"Barney, G. S. and Anderson, P. D.",The Kinetics and Reversibility of Radionuclide Sorption Reactions with Rocks_x000B_- Progress Report for Fiscal Year 1978
,The Kinetics and Reversiblity of Radionuclide Sorption Reactions with Rocks1979,bb79,not found,1979,NA,NA,261-315,"Barney, G. S. and Brown, G. E.",The Kinetics and Reversiblity of Radionuclide Sorption Reactions with Rocks
,Sorption and Desorption Reactions of Radionuclides with a Crushed Basalt-Bentonite Packing Material.1985,blaj85,not found,1985,NA,NA,NA,"Barney, G. S. , Lane, D. L. , Allen, C. C. and Jones, T. E.",Sorption and Desorption Reactions of Radionuclides with a Crushed Basalt-Bentonite Packing Material.
,Radionuclide Reactions with Groundwater and Basalts from Columbia River Basalt Formations1981,b81,not found,1981,NA,NA,NA,"Barney, G. S.",Radionuclide Reactions with Groundwater and Basalts from Columbia River Basalt Formations
,Radionuclide Sorption on Basalt-Interbed Materials FY 1981 Annual Report1982,b82,not found,1982,NA,NA,NA,"Barney, G. S.",Radionuclide Sorption on Basalt-Interbed Materials FY 1981 Annual Report
,Radionuclide sorption and desorption reactions with interbed materials from the Columbia River Basalt formation1984,b84,http://dx.doi.org/10.1021/bk-1984-0246.ch001,1984,ACS Symposium Series 246,NA,23-Mar,"Barney, G.S.",Radionuclide sorption and desorption reactions with interbed materials from the Columbia River Basalt formation
,Adsorption behavior of strontium on binary mineral mixtures of Montmorillonite and Kaolinite2006,ba06,not found,2006,Applied Radiation and Isotopes,64,957-964,"Bascetin, E. and Atun, G.",Adsorption behavior of strontium on binary mineral mixtures of Montmorillonite and Kaolinite
,Studies of the Effects of Organic Materials on the Sorption of Tin and Radium1990,bbp90,not found,1990,Nirex Safety Series Report,NA,all page,"Baston, G. M. N. , Berry, J. A. and Pilkington, N. J.",Studies of the Effects of Organic Materials on the Sorption of Tin and Radium
,Studies of the Effects of Organic Materials on the Sorption of Uranium(IV) and Thorium(IV) on London Clay and Caithness Flagstones1991,bbbbl91,not found,1991,Nirex Safety Series Report,NA,all page,"Baston, G. M. N. , Berry, J. A. , Bond, K. A. , Brownsword, M. and Linklater, C. M.",Studies of the Effects of Organic Materials on the Sorption of Uranium(IV) and Thorium(IV) on London Clay and Caithness Flagstones
,Effects of Organic Degradation Products on the Sorption of Actinides1992,bbbbl92a,http://dx.doi.org/10.1524/ract.1992.5859.2.349,1992,Radiochimica Acta,58/59,349-356,"Baston, G. M. N. , Berry, J. A. , Bond, K. A. , Brownsword, M. and Linklater, C. M.",Effects of Organic Degradation Products on the Sorption of Actinides
,Sorption of Activation Products on London Clay and Dungeness Aquifer Gravel1992,bblp92b,http://dx.doi.org/10.1524/ract.1992.5859.2.225,1992,Radiochimica Acta,58/59,225-233,"Baston, G. M. N. , Berry, J. A. , Littleboy, A. K. and Pilkington, N. J.",Sorption of Activation Products on London Clay and Dungeness Aquifer Gravel
,Factors influencing the sorption of radium onto geological materials1993,bbl93,not found,1993,Analytical Proceedings,30,194-195,"Baston, G.M.N., Berry, J.A. and Linklater, C.M.",Factors influencing the sorption of radium onto geological materials
,"Effects of cellulosic degradation products concentration on actinide sorption on tuffs from the Borrowdale Volcanic Group, Sellafield, Cumbria1994",bbbbl94,http://dx.doi.org/10.1524/ract.1994.6667.special-issue.437,1994,Radiochimica Acta,66/67,437-442,"Baston, G.M.N., Berry, J.A., Bond, K.A., Boult, K.A. and Linklater, C.M.","Effects of cellulosic degradation products concentration on actinide sorption on tuffs from the Borrowdale Volcanic Group, Sellafield, Cumbria"
,"The Sorption of Uranium and Technetium on Bentonite, Trff and Granodiorite1995",bbbcht95a,not found,1995,Materials Research Society Symposium Proceedings,353,989-996,"Baston, G. M. N. , Berry, J. A. , Brownsword, M. , Cowper, M. M. , Heath, T. G. and Tweed, C. J.","The Sorption of Uranium and Technetium on Bentonite, Trff and Granodiorite"
,"Sorption of Plutonium and Americium on Repository, Backfill and Geological Materials Relevant to the JNFL Low-Level Radioactive Waste Repository at Rokkasho-Mura1995",bbbhtw95b,http://dx.doi.org/10.1557/PROC-353-957,1995,Materials Research Society Symposium Proceedings,353,957-964,"Baston, G. M. N. , Berry, J. A. , Brownsword, M. , Heath, T. G. , Tweed, C. J. and Williams, S. J.","Sorption of Plutonium and Americium on Repository, Backfill and Geological Materials Relevant to the JNFL Low-Level Radioactive Waste Repository at Rokkasho-Mura"
,"The Effect of Temperature on the Sorption of Technetium, Uranium, Neptunium and Curium on Bentonite, Tuff and Granodiorite1997",bbbhity97,http://dx.doi.org/10.1557/PROC-465-805,1997,Materials Research Society Symposium Proceedings,465,805-812,"Baston, G. M. N. , Berry, J. A. , Brownsword, M. , Heath, T. G. , Ilett, D. J. , Tweed, C. J. and Yui, M.","The Effect of Temperature on the Sorption of Technetium, Uranium, Neptunium and Curium on Bentonite, Tuff and Granodiorite"
,Sorption Studies of Radioelements on Geological Materials1998,bbbchhimct98,not found,1998,AEAT-3142(Revised),NA,all page,"Baston, G. M. N. ,Berry, J. A. ,Brownword, M., Cowper, M. M., Haworth, A., Heath, T. G., Ilett, D. J., McCrohon, R., Tweed and C.J.",Sorption Studies of Radioelements on Geological Materials
,Effect of Carbonate Concentration on the Sorption of Plutonium onto Geological Materials2000,bbbilty00,http://dx.doi.org/10.1557/PROC-608-293,2000,Materials Research Society Symposium Proceedings,608,293-298,"Baston, G. M. N. , Berry, J. A. , Brownsword, M. , Ilett, D. J. , Linklater, C. M. , Tweed, C. J. and Yui, M.",Effect of Carbonate Concentration on the Sorption of Plutonium onto Geological Materials
,Sorption of Selenite and Selenate to Cement Minerals2003,bj03,http://dx.doi.org/10.1021/es020148d,2003,Environmental Science and Technology,37,3442-3447,"Baur, I. and Johnson, C. A.",Sorption of Selenite and Selenate to Cement Minerals
,The solubility and sorption of lead-210 and carbon-14 in a near-field environment.1988,behsbtw88,http://dx.doi.org/10.1557/PROC-112-33,1988,Materials Research Society Symposium Proceedings,112,33-42,"Bayliss, S. , Ewart, F. T. , Howse, R. M. , Smith-Briggs, J. L. , Thomason, H. P. and Willmot, H. A.",The solubility and sorption of lead-210 and carbon-14 in a near-field environment.
,The solubility and sorption of radium and tin in a cementitious near-field environment.1989,behlpsbw89,http://dx.doi.org/10.1557/PROC-127-879,1989,Materials Research Society Symposium Proceedings,127,879-886,"Bayliss, S. , Ewart, F. T. , Howse, R. M. , Lane, S. A. , Pilkington, N. J. , Smith-Briggs, J. L. and Wiliams, S. J.",The solubility and sorption of radium and tin in a cementitious near-field environment.
,Sulphate sorption on Callovo-Oxfordian argillite2005,bbdmsst05,not found,2005,Clays in Natural & Engineered Barriers for Radioactive Waste Confinement,NA,617-618,"Bazer-Bachi, F. , Descostes, M. , Meier, P. , Simonnot, M.-O. , Sardin, M. and Tevissen, E.",Sulphate sorption on Callovo-Oxfordian argillite
,Sorption behavior of trivalent actinides and rare earths on Bentonite (Clay minerals)1979,bkhok79,not found,1979,"Radioactive Waste in Geological Storage, ACS Symp. Series 100",NA,201-213,"Beall, G.W., Ketelle, B.H., Haire, R.G. and O Kelley, G.D.",Sorption behavior of trivalent actinides and rare earths on Bentonite (Clay minerals)
,Americium Speciation and Distribution Coefficients in a Granitic Ground Water1985,blvl85,http://dx.doi.org/10.1557/PROC-50-501,1985,Materials Research Society Symposium Proceedings,50,501-508,"Beall, G. W. , Lee, W. W. L. and Van-Luik, A. E.",Americium Speciation and Distribution Coefficients in a Granitic Ground Water
,Laboratory tests on the migration behavior of selcted fission products in aquifer materials from a potential disposal site in northern Germany1982,bklm82,not found,1982,Materials Research Society Symposium Proceedings,11,783-790,"Behrens, H., Klotz, D., Lang, H. and Moser, H.",Laboratory tests on the migration behavior of selcted fission products in aquifer materials from a potential disposal site in northern Germany
,Distribution Coefficients of Radionuclides between Soils and Groundwaters and Their Dependence on Various Test Parameters1988,bb88,http://dx.doi.org/10.1016/0048-9697(88)90349-X,1988,The Science of the Total Environment,NA,297-317,"Bell, J. and Bates, T. H.",Distribution Coefficients of Radionuclides between Soils and Groundwaters and Their Dependence on Various Test Parameters
,Interaction of radium with freshwater sediments and their mineral components. II. Kaolinite and montmorillonite1985,bbs85,not found,1985,Journal of Radioanalytical and Nuclear Chemistry ,89,339-351,"Benes, P., Borovec, Z. and Strejc, P.",Interaction of radium with freshwater sediments and their mineral components. II. Kaolinite and montmorillonite
,Preliminary Experiments for Measuring Kd Values for Cesium and Strontium._x000B_To Be Used in Site Evaluations1992,bhm92a,not found,1992,NA,NA,all page,"Benischek, I. , Hess, V. and Metzker, E.",Preliminary Experiments for Measuring Kd Values for Cesium and Strontium._x000B_To Be Used in Site Evaluations
,Preliminary Experiments for Determining Kd Values for Cesium and Strontium as Part of Site Selection Part II.1992,bhm92b,not found,1992,NA,NA,all page,"Benischek, I. , Hess, V. and Metzker, E.",Preliminary Experiments for Determining Kd Values for Cesium and Strontium as Part of Site Selection Part II.
,Adsorption of metals at oxide interfaces: effects of the concentrations of adsorbate and competing metals1980,bl80,not found,1980,NA,2,305-322,"Benjamin, M.M. and Leckie, J.O.",Adsorption of metals at oxide interfaces: effects of the concentrations of adsorbate and competing metals
,Safety Assessment and Investigations for a Shallow Land Disposal Facility in Hungary1988,bdfhmjm88,not found,1988,"Proc.of a Symp.on the Management of Low and Intermediate Level Radioactive Wastes 1988,1",NA,163-178,"Berci, K. , Deak, J. , Friedrich, V. , Hazi, E. , Maleczki, E. , Juhasz, J. and Mojzes, A.",Safety Assessment and Investigations for a Shallow Land Disposal Facility in Hungary
,Distribution of trace elements between clays and zeolites and aqueous solutions similar to sea water1992,b92,http://dx.doi.org/10.1016/S0883-2927(09)80076-0,1992,"Applied Geochemistry, Suppl. Issue",NA,193-203,"Berger, G.",Distribution of trace elements between clays and zeolites and aqueous solutions similar to sea water
,"Selectivity of illite, vermiculite and smectite with regard to Cu2+, Pb2+, Zn2+, Cd2+, and Mn2+1980",b80,not found,1980,Acta Agriculturae Scandinavia,30,460-468,"Bergseth, H.","Selectivity of illite, vermiculite and smectite with regard to Cu2+, Pb2+, Zn2+, Cd2+, and Mn2+"
,Sorption of Radionuclides on Sandstones and Mudstones1988,bbcgjl88a,http://dx.doi.org/10.1524/ract.1988.4445.1.135,1988,Radiochimica Acta,44/45,135-141,"Berry, J. A. , Bourke, P. J. , Coates, H. A. , Green, A. , Jefferies, N. L. and Littleboy, A. K.",Sorption of Radionuclides on Sandstones and Mudstones
,"Sorption of Radionuclides on Geological Samples from the Bradwell, Elstow, Fulbeck and Killingholme Site Investigations1988",bcgl88b,not found,1988,Nirex Safety Series Report,NA,all page,"Berry, J. A. , Coates, H. A. , Green, A. and Littleboy, A. K.","Sorption of Radionuclides on Geological Samples from the Bradwell, Elstow, Fulbeck and Killingholme Site Investigations"
,Studies of the Effects of Organic Materials on the Sorption of Uranium and Plutonium1989,bbfp89,http://dx.doi.org/10.1524/ract.1991.5253.1.201,1989,Nirex Safety Series Report,NA,all page,"Berry, J. A. , Bond, K. A. , Ferguson, D. R. and Pilkington, N. J.",Studies of the Effects of Organic Materials on the Sorption of Uranium and Plutonium
,Solubility and sorption of protactinium in the near-field and far-field environments of a radioactive waste repository.1989,bhllnosbw89,http://dx.doi.org/10.1039/an9891400339,1989,"Analyst(Mar 1989),Vol.114(3),pp.397-347,1989?UK Nirex Ltd Report NSS/R122,1988",NA,NA,"Berry, J. A. , Hobley, J. , Lane, S. A. , Littleboy, A. K. , Nash, M. J. , Oliver, P. , Smith-Briggs, J. L. and Williams, S. J.",Solubility and sorption of protactinium in the near-field and far-field environments of a radioactive waste repository.
,Radionuclide Sorption on Generic Rock Types1990,bbbfgl90a,not found,1990,Nirex safety Series Report,NA,all page,"Berry, J. A. , Bond, K. A. , Brownsword, M. , Ferguson, D. R. , Green, A. and Littleboy, A. K.",Radionuclide Sorption on Generic Rock Types
,Mass transfer and sorptive properties of geological samples from the Drigg site1990,bbgjll90b,not found,1990,Chemistry Division AEA Technology,NA,all page,"Berry, J. A. , Brownsword, M. , Gilling, D. , Jefferies, N. L. , Lineham, T. R. and Linsell, I. M.",Mass transfer and sorptive properties of geological samples from the Drigg site
,Experimental Studies of the Effects of Organic Materials on the Sorption of Uranium and Plutonium1991,bbfp91a,http://dx.doi.org/10.1524/ract.1991.5253.1.201,1991,Radiochimica Acta,52/53,201-209,"Berry, J. A. , Bond, K. A. , Ferguson, D. R. and Pilkington, N. J.",Experimental Studies of the Effects of Organic Materials on the Sorption of Uranium and Plutonium
,Studies of the effects of degradation products on the sorption of tin and radium1991,bbblp91b,http://dx.doi.org/10.1557/PROC-212-577,1991,Materials Research Society Symposium Proceedings,212,577-585,"Berry, J.A., Baston, G.M.N., Bond, K.A., Linklater, C.M. and Pilkington, N.J.",Studies of the effects of degradation products on the sorption of tin and radium
,"Factors influencing the diffusion of uranium, plutonium and radium through Sherwood Sandstone from Sellafield, Cumbria1994",bbcgl94,http://dx.doi.org/10.1524/ract.1994.6667.special-issue.447,1994,Radiochimica Acta,66/67,447-452,"Berry, J.A., Bond, K.A., Cowper, M.M., Green, A. and Linklater, C.M.","Factors influencing the diffusion of uranium, plutonium and radium through Sherwood Sandstone from Sellafield, Cumbria"
,Sorption onto tuff in the chemically-disturbed zone of a cementitious repository1995,bbglt95,not found,1995,Radiochimica Acta,72,NA,"Berry, J.A., Bond, K.A., Green, A., Linklater, C.M.and Tweed, C.J.",Sorption onto tuff in the chemically-disturbed zone of a cementitious repository
,Effect of redox conditions on the sorption of plutonium onto geological materials2002,bbilmty02,http://dx.doi.org/10.1557/PROC-713-JJ11.46,2002,Materials Research Society Symposium Proceedings,713,791-798,"Berry, J. A. , Brownsword, M. , Ilett, D. J. , Linklater, C. M. , Mason, C. , Tweed, G. J. and Yui, M.",Effect of redox conditions on the sorption of plutonium onto geological materials
,Effect of Redox Conditions on the Sorption of Plutonium onto Geological Materials2002,bbilmty02,http://dx.doi.org/10.1557/PROC-713-JJ11.46,2002,Materials Research Society Symposium Proceedings,713,791-797,"Berry, J. A. , Brownsword, M. , Ilett, D. J. , Linklater, C. M. , Mason, C. , Tweed, C. J. and Yui, M.",Effect of Redox Conditions on the Sorption of Plutonium onto Geological Materials
,Sorption Studies of Radioelements on Geological Materials2007,byk07,not found,2007,JAEA Technical Report,NA,NA,"Berry, J. A. , Yui, M. and Kitamura, A.",Sorption Studies of Radioelements on Geological Materials
