jaea: atm/redox condition	Gas1	Gas1_val	Gas1_SD	Gas1_units	Gas2	Gas2_val	Gas2_SD	Gas2_units	Gas3	Gas3_val	Gas3_SD	Gas3_units
n.r.(air?)	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
n.r.(ambient condition)	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
n.r.(oxic condition)	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
n.r.(reducing condition)	N2(g)	0.8	NA	bar	CO2(g)	0.000316228	NA	bar				
n.r.(reducing condition?)	N2(g)	0.8	NA	bar	CO2(g)	0.000316228	NA	bar				
N2	N2(g)	1	NA	bar								
N2 (CO2 and O2??2ppm)	N2(g)	1	NA	bar	O2(g)	0.000002	NA	bar	CO2(g)	0.000002	NA	bar
N2 (CO2, O2<5ppm)	N2(g)	1	NA	bar	O2(g)	0.000005	NA	bar	CO2(g)	0.000005	NA	bar
N2 (O2??1ppm)	N2(g)	1	NA	bar	O2(g)	0.000001	NA	bar				
N2 (O2<100ppm)	N2(g)	1	NA	bar	O2(g)	0.0001	NA	bar				
N2 atmosphere	N2(g)	1	NA	bar								
N2(+0.01M Na2S2O4)	N2(g)	1	NA	bar								
N2(<0.1% O2)	N2(g)	1	NA	bar	O2(g)	0.01	NA	bar				
N2(<1ppm O2)	N2(g)	1	NA	bar	O2(g)	0.000001	NA	bar				
N2(0.05M Na2S2O4)	N2(g)	1	NA	bar								
N2(0.08M hydrazine)	N2(g)	1	NA	bar								
N2(CO2<1ppm, O2<1ppm)	N2(g)	1	NA	bar	O2(g)	0.000001	NA	bar	CO2(g)	0.000001	NA	bar
N2(CO2<5ppm, O2<5ppm)	N2(g)	1	NA	bar	O2(g)	0.000005	NA	bar	CO2(g)	0.000005	NA	bar
N2(Na2S2O4)	N2(g)	1	NA	bar								
N2(O2 and CO2 < 5ppm)	N2(g)	1	NA	bar	O2(g)	0.000005	NA	bar	CO2(g)	0.000005	NA	bar
N2(O2<0.1ppm)	N2(g)	1	NA	bar	O2(g)	0.0000001	NA	bar				
N2(O2<10ppm)	N2(g)	1	NA	bar	O2(g)	0.00001	NA	bar				
N2(O2<1ppm)	N2(g)	1	NA	bar	O2(g)	0.000001	NA	bar				
N2(O2<1ppm), No adjusted ORP	N2(g)	1	NA	bar	O2(g)	0.000001	NA	bar				
N2(O2<2ppm, CO2<2ppm)	N2(g)	1	NA	bar	O2(g)	0.000002	NA	bar	CO2(g)	0.000002	NA	bar
N2(O2<3ppm)	N2(g)	1	NA	bar	O2(g)	0.000003	NA	bar				
N2(pCO2<1ppm)	N2(g)	1	NA	bar	CO2(g)	0.000001	NA	bar				
N2(pCO2=1e-2.0)	N2(g)	1	NA	bar	CO2(g)	0.01	NA	bar				
N2(pCO2=1e-3.5)	N2(g)	1	NA	bar	CO2(g)	0.000316228	NA	bar				
N2/0.05% CO2	N2(g)	1	NA	bar	CO2(g)	0.0005	NA	bar				
N2/CO2 mixture	N2(g)	1	NA	bar								
N2/H2 mixture	N2(g)	1	NA	bar								
N2_0%CO2	N2(g)	1	NA	bar								
N2_0.4%CO2	N2(g)	1	NA	bar	CO2(g)	0.004	NA	bar				
N2_0.4%CO2(?`2ppmO2)	N2(g)	1	NA	bar	O2(g)	0.000002	NA	bar	CO2(g)	0.004	NA	bar
N2_1%CO2	N2(g)	1	NA	bar	CO2(g)	0.01	NA	bar				
N2_2.0%CO2	N2(g)	1	NA	bar	CO2(g)	0.02	NA	bar				
N2+Na2S2O4 (O2??1ppm)	N2(g)	1	NA	bar								
Na2S2O4	N2(g)	1	NA	bar								
nitrogen gas(<0.1% O2)	N2(g)	1	NA	bar	O2(g)	0.001	NA	bar				
no CO2	N2(g)	1	NA	bar								
no-CO2	N2(g)	1	NA	bar								
non-oxidizing condition	N2(g)	1	NA	bar								
non-reducing condition	N2(g)	1	NA	bar								
no-O2	N2(g)	1	NA	bar								
Normal	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
normal O2	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
O2	O2(g)	1	NA	bar								
O2 and CO2 <1ppm	N2(g)	1	NA	bar	O2(g)	0.000001	NA	bar	CO2(g)	0.000001	NA	bar
O2 and CO2 <2ppm	N2(g)	1	NA	bar	O2(g)	0.000002	NA	bar	CO2(g)	0.000002	NA	bar
O2 and CO2 <5ppm	N2(g)	1	NA	bar	O2(g)	0.000005	NA	bar	CO2(g)	0.000005	NA	bar
O2<0.5ppm	N2(g)	1	NA	bar	O2(g)	0.0000005	NA	bar				
O2<1ppm	N2(g)	1	NA	bar	O2(g)	0.000001	NA	bar				
O2<1ppm, 0.01M-Na2S2O4	N2(g)	1	NA	bar	O2(g)	0.000001	NA	bar				
oxic	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
Oxic condition	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
oxic condition	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
oxid	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
Oxidizing	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
oxidizing	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
oxidizing condition	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
oxidizing condition(air)	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
oxidizing condition(O2)	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
PCO2<1ppm	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000001	NA	bar
pCO2=10^-2.0atm	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.01	NA	bar
reducing	N2(g)	0.8	NA	bar								
reducing condition	N2(g)	0.8	NA	bar								
reducing condition (Na2S2O4)	N2(g)	0.8	NA	bar								
reducing condition(0.05M hydrazine;Ar)	Ar(g)	1	NA	bar								
reducing condition(0.05M hydrazine;N2)	N2(g)	1	NA	bar								
reducing condition(0.1M hydrazine)	N2(g)	1	NA	bar								
reducing condition(Fe(II))	N2(g)	1	NA	bar								
reducing condition(N2)	N2(g)	1	NA	bar								
reducing(Na2S2O4)	N2(g)	1	NA	bar								
reductive	N2(g)	1	NA	bar								
reductive(3% H2)	N2(g)	1	NA	bar								
reducung(Ar)	Ar(g)	1	NA	bar								
removed CO2 gas	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar				
seasonally oxic/anoxic condition	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
slightly oxidized environment	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar	CO2(g)	0.000316228	NA	bar
super Ar	Ar(g)	1	NA	bar								
trace CO2	N2(g)	0.8	NA	bar	O2(g)	0.2	NA	bar				
